StationId,City,Date,Status,PM2.5,PM10,NOx,CO,SO2,O3
DL001,Delhi,2018-11-11,Active,232.36,415.28,43.87,1.49,23.48,46.28
DL001,Delhi,2018-11-12,Active,238.43,348.91,44.63,1.53,14.38,45.31
DL001,Delhi,2018-11-13,Active,284.83,427.4,76.15,1.43,21.33,30.4
DL001,Delhi,2018-11-14,Active,150.41,214.16,56.3,0.99,12.74,41.87
DL001,Delhi,2018-11-15,Active,106.11,154.36,47.21,0.7,12.46,27.93
DL001,Delhi,2018-11-16,Active,146.23,211.34,33.65,0.71,11.64,46.12
DL001,Delhi,2018-11-17,Active,166.78,271.76,50.84,0.98,14.0,33.51
DL001,Delhi,2018-11-18,Active,218.54,346.77,72.53,1.33,19.79,44.81
DL001,Delhi,2018-11-19,Active,226.92,355.95,43.2,1.02,21.25,52.6
DL001,Delhi,2018-11-24,Active,86.52,206.06,33.01,0.59,18.24,39.43
DL001,Delhi,2018-11-25,Active,149.96,286.75,56.56,1.0,20.71,33.97
DL001,Delhi,2018-11-26,Active,182.33,353.69,89.98,1.39,30.86,32.7
DL001,Delhi,2018-11-27,Active,257.98,451.85,101.91,2.18,20.45,29.0
DL001,Delhi,2018-11-28,Active,230.46,372.59,64.62,1.6,17.92,20.35
DL001,Delhi,2018-11-29,Active,231.73,382.21,88.08,1.59,17.74,24.88
DL001,Delhi,2018-11-30,Active,205.27,369.52,68.0,1.26,22.29,21.5
DL001,Delhi,2018-12-01,Active,153.38,293.42,84.19,1.24,24.68,22.42
DL001,Delhi,2018-12-02,Active,179.6,341.4,118.78,1.75,24.2,25.69
DL001,Delhi,2018-12-03,Active,206.33,408.02,139.24,1.9,26.46,22.14
DL001,Delhi,2018-12-04,Active,245.3,473.36,186.08,2.51,24.45,17.23
DL001,Delhi,2018-12-05,Active,206.46,380.36,135.81,1.97,22.97,24.48
DL001,Delhi,2018-12-06,Active,228.9,386.96,160.48,2.33,20.69,23.95
DL001,Delhi,2018-12-07,Active,191.86,354.11,89.96,1.38,18.61,21.09
DL001,Delhi,2018-12-08,Active,221.01,354.38,74.68,1.3,24.31,26.95
DL001,Delhi,2018-12-09,Active,216.12,336.65,94.94,1.53,34.31,27.16
DL001,Delhi,2018-12-10,Active,259.24,383.93,53.53,1.6,21.26,25.87
DL001,Delhi,2018-12-11,Active,252.92,365.9,48.92,1.37,19.72,23.65
DL001,Delhi,2018-12-12,Active,210.33,290.5,45.47,1.21,21.13,20.55
DL001,Delhi,2018-12-13,Active,78.0,115.42,37.06,0.57,18.57,18.86
DL001,Delhi,2018-12-14,Active,98.81,158.25,44.01,0.59,18.66,18.43
DL001,Delhi,2018-12-15,Active,122.35,189.48,43.04,0.63,22.14,22.4
DL001,Delhi,2018-12-16,Active,158.71,234.88,57.03,0.85,24.59,23.3
DL001,Delhi,2018-12-17,Active,194.64,315.25,95.39,1.29,22.4,21.53
DL001,Delhi,2018-12-18,Active,210.9,328.62,72.63,1.08,27.25,27.54
DL001,Delhi,2018-12-19,Active,255.17,380.98,83.34,1.44,28.56,22.89
DL001,Delhi,2018-12-20,Active,322.01,464.68,137.0,2.05,30.89,24.87
DL001,Delhi,2018-12-21,Active,263.78,379.29,84.27,1.35,24.61,26.52
DL001,Delhi,2018-12-22,Active,323.31,429.93,68.16,1.52,25.9,30.36
DL001,Delhi,2018-12-23,Active,334.3,419.71,55.59,1.93,19.42,31.42
DL001,Delhi,2018-12-24,Active,323.21,473.4,110.46,1.93,25.14,20.43
DL001,Delhi,2018-12-25,Active,225.67,319.67,59.82,1.14,19.63,20.71
DL001,Delhi,2018-12-26,Active,259.79,355.73,65.14,1.42,23.22,23.83
DL001,Delhi,2018-12-27,Active,281.79,384.12,72.21,1.63,25.1,28.23
DL001,Delhi,2018-12-28,Active,258.83,364.96,60.94,1.1,23.12,23.04
DL001,Delhi,2018-12-29,Active,284.56,399.62,79.55,1.45,23.12,20.2
DL001,Delhi,2018-12-30,Active,366.15,527.44,119.24,2.27,35.08,25.61
DL001,Delhi,2018-12-31,Active,290.83,446.31,108.62,1.67,25.76,19.17
DL001,Delhi,2019-01-01,Active,306.07,452.78,90.07,1.69,24.91,23.2
DL001,Delhi,2019-01-02,Active,336.7,464.34,70.58,1.81,24.39,22.31
DL001,Delhi,2019-01-03,Active,374.92,521.04,114.47,2.08,25.61,19.57
DL001,Delhi,2019-01-04,Active,223.22,346.24,62.78,1.35,18.83,12.29
DL001,Delhi,2019-01-05,Active,227.69,328.38,57.24,1.41,21.61,19.68
DL001,Delhi,2019-01-06,Active,150.23,196.81,50.66,0.87,22.62,23.96
DL001,Delhi,2019-01-07,Active,160.04,232.15,67.21,0.95,33.27,16.33
DL001,Delhi,2019-01-08,Active,145.99,213.74,54.01,0.73,25.4,18.06
DL001,Delhi,2019-01-09,Active,137.49,208.98,48.5,0.75,25.3,24.61
DL001,Delhi,2019-01-10,Active,173.01,261.53,61.63,0.96,28.39,23.37
DL001,Delhi,2019-01-11,Active,233.23,316.89,66.54,1.38,25.91,24.93
DL001,Delhi,2019-01-12,Active,340.67,477.17,105.36,2.06,30.26,25.63
DL001,Delhi,2019-01-13,Active,250.61,360.51,63.04,1.27,26.51,25.98
DL001,Delhi,2019-01-14,Active,89.57,143.26,39.71,0.49,25.02,28.03
DL001,Delhi,2019-01-15,Active,148.67,220.28,53.57,0.86,28.56,23.31
DL001,Delhi,2019-01-16,Active,292.53,424.49,93.9,2.0,29.14,22.4
DL001,Delhi,2019-01-17,Active,313.23,428.55,77.8,1.54,31.81,25.69
DL001,Delhi,2019-01-18,Active,159.64,317.48,61.87,1.98,21.41,17.27
DL001,Delhi,2019-01-19,Active,253.98,387.35,72.6,1.42,30.1,23.08
DL001,Delhi,2019-01-20,Active,261.19,382.36,87.81,1.91,33.34,40.43
DL001,Delhi,2019-01-21,Active,191.15,321.77,56.02,1.19,26.78,27.61
DL001,Delhi,2019-01-22,Active,39.77,46.11,29.42,0.45,21.19,30.98
DL001,Delhi,2019-01-23,Active,104.21,162.48,61.83,0.98,25.83,20.15
DL001,Delhi,2019-01-24,Active,102.38,160.79,33.41,0.71,21.38,25.92
DL001,Delhi,2019-01-25,Active,76.2,113.33,30.51,0.5,31.74,28.56
DL001,Delhi,2019-01-26,Active,88.94,135.61,26.61,0.59,23.34,32.51
DL001,Delhi,2019-01-27,Active,134.78,187.45,28.69,0.66,31.13,29.85
DL001,Delhi,2019-01-28,Active,134.51,191.59,34.51,0.68,33.68,33.17
DL001,Delhi,2019-01-29,Active,150.18,201.94,48.66,0.79,33.63,29.93
DL001,Delhi,2019-01-30,Active,215.42,332.88,56.66,1.03,51.55,27.82
DL001,Delhi,2019-01-31,Active,177.19,264.65,55.53,1.22,30.23,26.84
DL001,Delhi,2019-02-01,Active,191.46,252.49,47.28,1.04,27.0,28.53
DL001,Delhi,2019-02-02,Active,172.49,244.02,34.99,0.79,21.83,23.07
DL001,Delhi,2019-02-03,Active,118.16,183.55,37.18,0.87,17.41,21.88
DL001,Delhi,2019-02-04,Active,154.48,267.85,54.34,1.37,26.51,25.46
DL001,Delhi,2019-02-05,Active,217.08,332.66,66.03,1.75,31.57,35.56
DL001,Delhi,2019-02-06,Active,213.33,311.04,60.09,1.63,27.71,24.5
DL001,Delhi,2019-02-07,Active,70.52,101.02,30.69,0.59,23.19,28.01
DL001,Delhi,2019-02-08,Active,65.52,126.5,44.75,0.62,26.44,23.73
DL001,Delhi,2019-02-09,Active,77.25,140.38,26.88,0.53,26.43,30.43
DL001,Delhi,2019-02-10,Active,136.12,235.95,47.56,0.95,31.38,24.99
DL001,Delhi,2019-02-11,Active,143.03,264.55,68.45,1.18,34.81,29.67
DL001,Delhi,2019-02-12,Active,184.27,331.94,87.2,1.46,33.97,34.53
DL001,Delhi,2019-02-13,Active,194.29,317.64,72.61,1.54,30.17,37.28
DL001,Delhi,2019-02-14,Active,174.76,246.32,54.15,1.39,28.4,31.81
DL001,Delhi,2019-02-15,Active,120.54,157.0,31.69,0.87,31.67,29.82
DL001,Delhi,2019-02-16,Active,106.16,155.68,27.03,0.66,28.29,24.06
DL001,Delhi,2019-02-17,Active,88.43,152.27,30.0,0.66,23.72,36.31
DL001,Delhi,2019-02-18,Active,99.77,179.26,43.19,0.76,29.73,32.12
DL001,Delhi,2019-02-19,Active,125.07,192.4,40.32,0.91,24.55,43.45
DL001,Delhi,2019-02-20,Active,87.22,123.58,32.55,0.76,21.91,19.45
DL001,Delhi,2019-02-21,Active,68.33,142.6,34.46,0.73,27.83,27.84
DL001,Delhi,2019-02-22,Active,65.97,118.76,31.44,0.53,22.7,29.35
DL001,Delhi,2019-02-23,Active,56.01,94.75,23.71,0.41,28.39,41.83
DL001,Delhi,2019-02-24,Active,89.86,147.35,28.85,0.52,27.09,41.37
DL001,Delhi,2019-02-25,Active,103.56,178.31,57.42,0.84,27.48,47.59
DL001,Delhi,2019-02-26,Active,52.27,82.18,24.71,0.45,26.89,35.16
DL001,Delhi,2019-02-27,Active,42.78,68.55,22.1,0.4,22.35,21.55
DL001,Delhi,2019-02-28,Active,96.78,176.32,51.65,0.75,25.37,30.6
DL001,Delhi,2019-03-01,Active,102.65,195.23,52.95,0.75,27.29,31.97
DL001,Delhi,2019-03-02,Active,138.18,223.32,54.39,0.99,29.02,9.77
DL001,Delhi,2019-03-03,Active,61.74,81.4,23.53,0.54,25.56,38.38
DL001,Delhi,2019-03-04,Active,76.2,114.85,33.59,0.65,26.95,28.0
DL001,Delhi,2019-03-05,Active,71.82,135.15,27.84,0.51,26.19,33.92
DL001,Delhi,2019-03-06,Active,75.3,145.7,29.03,0.55,33.07,38.19
DL001,Delhi,2019-03-07,Active,112.4,228.88,55.0,0.68,28.78,42.59
DL001,Delhi,2019-03-08,Active,85.0,170.94,36.01,0.63,33.58,42.71
DL001,Delhi,2019-03-09,Active,65.6,149.44,35.84,0.51,32.84,38.21
DL001,Delhi,2019-03-10,Active,71.05,142.16,27.81,0.49,32.02,48.31
DL001,Delhi,2019-03-11,Active,82.89,180.43,31.54,0.66,33.41,48.06
DL001,Delhi,2019-03-12,Active,48.06,98.41,30.21,0.37,20.28,44.78
DL001,Delhi,2019-03-13,Active,82.93,198.24,46.86,0.56,41.53,29.64
DL001,Delhi,2019-03-14,Active,98.48,193.17,62.91,0.81,27.79,23.46
DL001,Delhi,2019-03-15,Active,59.9,119.92,47.72,0.51,25.61,36.05
